"STATE","C1_HLTH_DEFS_CNT","C1_FS_DEFS_CNT","C2_HLTH_DEFS_CNT","C2_FS_DEFS_CNT","C3_HLTH_DEFS_CNT","C3_FS_DEFS_CNT","aidhrd","vochrd","rnhrd","totlichrd","tothrd","pthrd","FINE_CNT","FINE_TOT","QM401","QM402","QM403","QM404","QM405","QM406","QM407","QM408","QM409","QM410","QM411","QM415","QM419","QM424","QM425","QM426","QM430","QM434","FILEDATE"
"TX","7.5","3.9","7.2","4.3","7.1","4.4","2.27","0.93","0.59","1.52","3.79","0.08","0.6","7623","20.2","8.8","6.9","6.0","44.5","3.2","6.5","7.7","0.9","3.3","91.3","88.9","25.4","18.6","0.9","74.3","72.5","3.4","2015-01-01"
"UT","8.4","3.3","9.0","4.1","10.5","4.5","2.62","0.44","1.32","1.76","4.38","0.19","0.5","3226","12.4","13.9","4.5","7.2","48.4","3.1","6.3","13.9","1.7","3.5","95.5","93.9","23.6","24.5","0.6","88.3","88.4","1.9","2015-01-01"
"VA","8.5","2.0","8.1","2.2","8.1","2.0","2.33","1.08","0.79","1.87","4.19","0.12","0.1","3950","18.0","7.6","6.2","8.0","51.6","2.7","6.0","3.7","0.7","3.3","92.0","92.6","18.4","17.8","0.9","83.3","82.0","2.3","2015-01-01"
"VI","7.0","0.0","0.0","11.0","9.0","3.0","3.37","0.49","0.84","1.33","4.70","0.04","0.0","0","22.9","12.2","13.8","6.0",,"0.0","1.2","3.7","15.9","0.0","91.4","53.4","14.3","35.5","0.0","43.8","69.7","0.0","2015-01-01"
"VT","8.0","0.5","8.1","0.4","7.9","0.9","2.55","0.77","0.97","1.74","4.29","0.12","0.4","13889","19.6","10.9","4.5","7.1","50.7","3.8","5.3","12.2","0.1","4.8","92.8","93.6","18.5","22.3","0.5","82.1","79.5","2.2","2015-01-01"
"WA","8.8","2.0","9.1","2.4","10.1","2.6","2.65","0.62","1.18","1.80","4.45","0.15","0.3","1822","13.7","9.1","5.4","6.8","51.4","3.4","6.1","11.0","0.9","2.7","94.4","95.1","17.7","21.0","1.0","87.7","87.7","1.8","2015-01-01"
"WI","7.2","4.4","7.6","4.4","7.5","4.1","2.59","0.56","0.99","1.55","4.14","0.08","0.5","7700","14.9","8.7","4.4","7.2","43.9","3.6","4.6","5.9","0.6","3.2","96.0","98.2","14.4","20.7","0.9","89.1","90.9","1.2","2015-01-01"
"WV","11.0","1.1","12.0","1.8","12.0","2.0","2.13","0.92","0.85","1.77","3.90","0.09","0.2","6837","19.0","9.3","6.6","9.2","41.9","3.7","7.4","7.4","1.4","4.8","94.8","95.2","16.7","21.6","1.1","83.3","83.7","2.1","2015-01-01"
"WY","11.3","5.4","9.0","5.9","12.6","5.6","2.35","0.44","1.20","1.64","3.99","0.07","0.0","0","16.6","11.5","4.7","7.7","41.9","4.0","5.7","6.8","1.1","4.8","96.2","89.7","16.1","24.1","0.7","80.2","79.2","2.4","2015-01-01"

