"state","C1_HLTH_DEFS_CNT","C1_FS_DEFS_CNT","C2_HLTH_DEFS_CNT","C2_FS_DEFS_CNT","C3_HLTH_DEFS_CNT","C3_FS_DEFS_CNT","restot","aidhrd","vochrd","rnhrd","totlichrd","tothrd","pthrd","CM_RN","CM_TOTAL","fine_cnt","fine_tot","QM401","QM404","QM405","QM406","QM407","QM408","QM409","QM410","QM415","QM419","QM430","QM434","QM451","QM452","QM453","QM454","QM471","QM472","QM476","QM521","QM522","QM551","QM552","FILEDATE"
"MO","8.8","4.0","8.6","4.5","7.2","4.5","72.9","2.26","0.74","0.48","1.21","3.47","0.05","0.30372","2.82290","0.2","8390","14.443365","5.345121","31.883785","2.118492","3.590383","3.593924","0.164059","4.164967","89.586094","18.416490","75.610012","2.293571","14.536655","24.605224","8.388015","94.429826","69.716580","74.274584","1.944707","22.435643","10.152064","2.006974","1.079532","2020-07-01"
"MS","4.2","0.4","4.0","0.6","3.8","0.9","78.0","2.37","1.04","0.62","1.66","4.03","0.04","0.34966","3.13828","0.3","6616","17.502157","6.260720","49.533957","1.779983","3.062442","1.536587","0.819676","3.247511","97.554873","17.956750","89.100306","2.387442","17.962027","22.584208","9.271484","98.092569","64.577527","87.475772","1.775943","24.047369","12.318306","2.262405","1.442612","2020-07-01"
"MT","6.5","9.2","9.9","9.0","8.2","6.8","55.6","2.37","0.49","0.83","1.32","3.69","0.06","0.30268","2.88676","0.7","41418","16.076122","6.369196","42.225495","2.624637","3.336804","5.104993","0.323948","4.820093","93.023227","12.582351","77.326540","1.993893","16.546696","15.090978","5.867695","95.218345","69.159104","75.689160","1.699558","17.733601","11.033936","1.460306","1.213062","2020-07-01"
"NC","5.0","3.4","6.4","3.7","5.8","3.8","86.2","2.21","0.90","0.59","1.49","3.70","0.09","0.40059","3.30531","0.7","33472","18.450279","6.925913","56.048184","1.411221","3.389575","1.777849","0.084845","3.570564","92.002313","11.379128","83.625747","1.530918","22.356295","23.408972","9.190200","94.792330","65.718363","83.169951","1.942760","20.134251","10.884697","1.580626","0.990235","2020-07-01"
"ND","5.6","2.0","6.0","1.7","6.7","2.3","66.2","2.91","0.56","0.87","1.43","4.34","0.04","0.28397","2.94768","0.1","2205","15.669513","5.548438","46.188614","2.097600","3.183870","5.356880","0.078016","4.894183","98.457516","17.011750","89.857098","1.616989","16.121029","19.028632","4.894514","98.387651","78.951453","88.072880","1.592089","17.189135","8.538388","1.449729","0.938861","2020-07-01"
"NE","8.2","4.9","7.7","5.8","6.5","6.2","54.9","2.59","0.69","0.76","1.45","4.04","0.05","0.32157","3.03503","0.2","4615","15.070885","5.193383","47.497778","2.296732","3.905483","3.862549","0.164486","4.720215","94.443326","16.741228","84.464918","2.237243","18.933334","18.350797","5.777538","97.304051","76.143129","81.571260","2.119876","20.244508","7.945329","1.637656","0.871960","2020-07-01"
"NH","2.9","2.5","3.2","1.0","3.0","1.3","88.2","2.34","0.78","0.71","1.50","3.84","0.07","0.35810","3.11862","0.1","1032","16.875693","5.671092","46.240240","1.763419","2.970327","4.098173","0.148265","4.256698","96.555321","14.104453","87.735781","1.471452","19.154607","18.468664","5.977773","96.358966","73.628191","86.578980","1.766125","19.330450","10.194836","1.429774","0.911627","2020-07-01"
"NJ","3.5","1.0","4.5","1.1","4.1","1.4","118.8","2.06","0.87","0.83","1.70","3.76","0.12","0.36384","3.13639","0.3","8045","11.137661","5.506461","42.406658","1.400887","1.753936","1.650484","0.253510","2.555679","96.650504","9.541793","90.457615","1.358399","12.596398","18.142159","8.202064","98.172884","72.797972","89.937340","1.113656","21.749327","8.147890","1.812093","0.676625","2020-07-01"
"NM","11.5","3.4","13.5","3.7","12.7","4.0","79.6","2.31","0.60","0.73","1.33","3.64","0.09","0.34115","3.01939","0.6","27353","17.004305","5.677652","45.404308","2.409656","2.305752","3.451167","0.279799","3.660693","90.187032","16.209097","72.172557","1.625425","16.835451","14.915113","8.632551","92.047575","64.748622","72.767922","1.605018","21.074582","13.911746","1.654256","1.297308","2020-07-01"
"NV","13.4","9.1","14.6","8.2","9.2","6.5","88.9","2.39","0.97","0.88","1.84","4.24","0.12","0.45586","3.33427","0.0","357","14.364533","5.258621","47.124645","2.266454","1.484584","2.826097","0.590843","2.519432","89.493540","14.644743","80.038606","2.020935","18.889647","19.062466","8.191935","90.993227","61.498564","78.384051","0.888500","20.162639","7.971190","1.401968","0.739162","2020-07-01"
